workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,4,4681,4,400,613495,34112,5.56,579383,32551,0,4678,0,59,0,5040,1533.7,0.78
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,4,4681,16,400,613495,34112,5.56,579383,32561,0,4667,0,59,0,5040,1533.7,0.92
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,1,1170,4,400,613495,39728,6.48,573767,35711,0,1167,0,59,0,3008,1533.7,0.2
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,1,1170,16,400,613495,39648,6.46,573847,35723,388,1162,0,59,0,3008,1533.7,0.34
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,2,2340,4,400,613495,51456,8.39,562039,33808,0,2337,0,59,0,5040,1533.7,0.49
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,2,2340,16,400,613495,51456,8.39,562039,33818,0,2326,0,59,0,5040,1533.7,0.63
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,4,4681,4,400,613495,76432,12.46,537063,29906,0,4678,0,59,0,5040,1533.7,0.78
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B2,4,4681,16,400,613495,76336,12.44,537159,29922,0,4667,0,59,0,5040,1533.7,0.94
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,1,1170,4,400,613495,46384,7.56,567111,35295,0,1167,0,59,0,3008,1533.7,0.2
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,1,1170,16,400,613495,46080,7.51,567415,35321,388,1162,0,59,0,3008,1533.7,0.35
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,2,2340,4,400,613495,66464,10.83,547031,32870,0,2337,0,59,0,5040,1533.7,0.49
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,2,2340,16,400,613495,66464,10.83,547031,32880,0,2326,0,59,0,5040,1533.7,0.64
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,4,4681,4,400,613495,104256,16.99,509239,28167,0,4678,0,59,0,5040,1533.7,0.79
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B3,4,4681,16,400,613495,103904,16.94,509591,28199,0,4667,0,59,0,5040,1533.7,0.94
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,1,1170,4,400,613495,50528,8.24,562967,35036,0,1167,0,59,0,3008,1533.7,0.21
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,1,1170,16,400,613495,50176,8.18,563319,35065,388,1162,0,59,0,3008,1533.7,0.35
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,2,2340,4,400,613495,75952,12.38,537543,32277,0,2337,0,59,0,4848,1533.7,0.5
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,2,2340,16,400,613495,75952,12.38,537543,32287,0,2326,0,59,0,4848,1533.7,0.65
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,4,4681,4,400,613495,119328,19.45,494167,27225,0,4678,0,59,0,4848,1533.7,0.8
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B4,4,4681,16,400,613495,118976,19.39,494519,27257,0,4667,0,59,0,4848,1533.7,0.95
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,1,1170,4,400,613495,40912,6.67,572583,35637,0,1167,0,59,0,3008,1533.7,0.21
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,1,1170,16,400,613495,40912,6.67,572583,35644,388,1162,0,59,0,3008,1533.7,0.35
